time_s,z_m,max_abs_delta_T_K,max_abs_delta_C_kg_kg,radial_weighted_mean_delta_T_K,radial_weighted_mean_delta_C_kg_kg
540.0,0.0036620464155861904,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.004708345377475357,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.005754644331009957,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.00680094327457751,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.007847242206097388,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.008893541122936801,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.009939840021803058,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.010986138898604688,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005989394
540.0,0.012032437748284802,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005981195
540.0,0.013078736564625394,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005981195
540.0,0.014125035340008817,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005981195
540.0,0.015171334065114943,0.0002700339136367802,0.0011656760510285746,-3.850744496555736e-05,0.00010478313005990291
540.0,0.01621763272858375,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005985929
540.0,0.017263931316600097,0.0002700339136367802,0.0011656760510283526,-3.850744496555736e-05,0.00010478313005989394
540.0,0.018310229812372354,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.019356528195540252,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.020402826441478825,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.021449124520446446,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.02249542239654262,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.023541720026574783,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.024588017358664248,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.025634314330521622,0.0002700339136367802,0.0011656760510287967,-3.850744496555736e-05,0.00010478313005994502
540.0,0.026680610867531526,0.0002700339136367802,0.0011656760510287967,-3.850744496409756e-05,0.00010478313005994502
540.0,0.027726906880536258,0.0002700339136367802,0.0011656760510287967,-3.850744495266511e-05,0.00010478313005994502
540.0,0.028773202263123444,0.0002700339136367802,0.0011656760510287967,-3.850744494645751e-05,0.00010478313005994502
540.0,0.029819496888343826,0.0002700339136367802,0.0011656760510287967,-3.8507444929873946e-05,0.00010478313005994502
540.0,0.030865790605256217,0.0002700339136936236,0.0011656760510283526,-3.850744489225751e-05,0.00010478313005989394
540.0,0.03191208323471192,0.0002700339136936236,0.0011656760510283526,-3.8507444840494866e-05,0.00010478313005985929
540.0,0.03295837456413289,0.00027003391375046704,0.0011656760510283526,-3.85074447555969e-05,0.00010478313005985929
540.0,0.03400466434171516,0.0002700339138641539,0.0011656760510283526,-3.8507444612067184e-05,0.00010478313005985929
540.0,0.03505095226985211,0.00027003391409152755,0.0011656760510283526,-3.85074443488025e-05,0.00010478313005989394
540.0,0.03609723799744126,0.00027003391443258806,0.0011656760510287967,-3.8507443905988786e-05,0.00010478313005994502
540.0,0.03714352111050014,0.00027003391494417883,0.0011656760510287967,-3.8507443154149874e-05,0.00010478313005994502
540.0,0.03818980112251305,0.00027003391591051695,0.0011656760510287967,-3.850744189591166e-05,0.00010478313005994502
540.0,0.03923607746275605,0.0002700339175021327,0.0011656760510287967,-3.850743978407131e-05,0.00010478313005994502
540.0,0.04028234946173375,0.0002700339200032431,0.0011656760510287967,-3.850743630152726e-05,0.00010478313005994502
540.0,0.04132861633570477,0.0002700339242664995,0.0011656760510287967,-3.8507430529157236e-05,0.00010478313005994502
540.0,0.04237487716971418,0.0002700339311445532,0.0011656760510287967,-3.850742103282202e-05,0.00010478313005994502
540.0,0.04342113089694337,0.0002700339425700804,0.0011656760510283526,-3.850740549629235e-05,0.00010478313005989394
540.0,0.0444673762737487,0.0002700339609873481,0.0011656760510285746,-3.850738022314275e-05,0.00010478313005990291
540.0,0.045513611855182684,0.000270033990830143,0.0011656760510287967,-3.8507339246041905e-05,0.00010478313005994502
540.0,0.046559835965433324,0.0002700340389765188,0.0011656760510287967,-3.850727319116166e-05,0.00010478313005994502
540.0,0.04760604666142646,0.0002700341161130382,0.0011656760510287967,-3.850716724412958e-05,0.00010478313005994502
540.0,0.048652241694590856,0.0002700342394632571,0.0011656760510287967,-3.8506998142820614e-05,0.00010478313005994502
540.0,0.049698418470146756,0.00027003443523199167,0.0011656760510287967,-3.850672963922841e-05,0.00010478313005994502
540.0,0.050744573997060706,0.0002700347445170337,0.0011656760510287967,-3.850630546871315e-05,0.00010478313005994502
540.0,0.051790704828407724,0.0002700352307556386,0.0011656760510287967,-3.85056387500416e-05,0.00010478313005994502
540.0,0.052836807004765764,0.0002700359910363659,0.0011656760510287967,-3.850459619349576e-05,0.00010478313005994502
540.0,0.05388287598694727,0.00027003717389106896,0.0011656760510287967,-3.850297421262928e-05,0.00010478313005994502
540.0,0.05492890657290356,0.00027003900470390363,0.0011656760510287967,-3.8500463663751186e-05,0.00010478313005994502
540.0,0.055974892808294846,0.00027004182425116596,0.0011656760510287967,-3.849659760385475e-05,0.00010478313005994502
540.0,0.05702082789713402,0.0002700461441236257,0.0011656760510285746,-3.8490674701186365e-05,0.00010478313005990291
540.0,0.0580667040925781,0.00027005272858104945,0.0011656760510283526,-3.848164719922637e-05,0.00010478313005989394
540.0,0.05911251256974148,0.0002700627132981026,0.0011656760510287967,-3.8467958497403906e-05,0.00010478313005994502
540.0,0.06015824330378468,0.0002700777761219797,0.0011656760510287967,-3.84473086963253e-05,0.00010478313005994502
540.0,0.06120388493425225,0.00027010038274966064,0.0011656760510287967,-3.841631847117652e-05,0.00010478313005994502
540.0,0.062249424597174495,0.00027013413631493677,0.0011656760510287967,-3.837004999974589e-05,0.00010478313005994502
540.0,0.06329484773129956,0.000270184272210372,0.0011656760510287967,-3.830132864716044e-05,0.00010478313005994502
540.0,0.06434013790451507,0.00027025835549920885,0.0011656760510287967,-3.819978779825734e-05,0.00010478313005994502
540.0,0.06538527661709606,0.00027036725663265315,0.0011656760510287967,-3.8050533176894396e-05,0.00010478313005994502
540.0,0.06643024305309167,0.00027052650625591923,0.0011656760510283526,-3.783228636334568e-05,0.00010478313005989394
540.0,0.06747501381324514,0.00027075816734623004,0.0011656760510283526,-3.751482101581739e-05,0.00010478313005989394
540.0,0.06851956266272122,0.0002710934048764102,0.0011656760510285746,-3.705544516666198e-05,0.0001047831300599361
540.0,0.06956386026088461,0.00027157598771054836,0.0011656760510283526,-3.639420636489426e-05,0.00010478313005992716
540.0,0.07060787382080315,0.0002722670313346498,0.0011656760510285746,-3.544739887040438e-05,0.0001047831300599361
540.0,0.0716515667581494,0.00027325137870093386,0.0011656760510283526,-3.4098830320555846e-05,0.00010478313005989394
540.0,0.07269489830361563,0.0002746461263996025,0.0011656760510283526,-3.2188153980259354e-05,0.00010478313005985929
540.0,0.07373782316290495,0.0002766119390003041,0.0011656760510283526,-2.9495387142842925e-05,0.00010478313005985929
540.0,0.07478029111431495,0.0002793679611841071,0.0011656760510283526,-2.5720510243659828e-05,0.00010478313005989394
540.0,0.07582224651288785,0.0002832113353861132,0.0011656760510287967,-2.04567726282336e-05,0.00010478313005994502
540.0,0.07686362783398165,0.00028854256407839785,0.0011656760510287967,-1.3156010154261378e-05,0.00010478313005994502
540.0,0.07790436719314517,0.0002958982339009708,0.0011656760510287967,-3.083907172081582e-06,0.00010478313005994502
540.0,0.07894438984094701,0.00030599293256727833,0.0011656760510287967,1.0737293096392626e-05,0.00010478313005994502
540.0,0.07998361362457158,0.00031977254633375196,0.0011656760510287967,2.9601610998559337e-05,0.00010478313005994502
540.0,0.08102194840032294,0.0003384815241815886,0.0011656760510287967,5.521120523833513e-05,0.00010478313005994502
540.0,0.08205929548549097,0.00036374712965425715,0.0011656760510287967,8.979140696896383e-05,0.00010478313005994502
540.0,0.08309554716203224,0.00039768416485230773,0.0011656760510287967,0.00013623364623167593,0.00010478313005994502
540.0,0.08413058610602109,0.0004430241287991521,0.0011656760510287967,0.0001982716409805625,0.00010478313005994502
540.0,0.08516428481011179,0.0005052633408695328,0.0011656760510287967,0.00028069685868485807,0.00010478313005994502
540.0,0.08619650506439627,0.0006445584018592854,0.0011656760510283526,0.0003896198684477743,0.00010478313005989394
540.0,0.08722709745954318,0.0008275842326384009,0.0011656760510283526,0.0005327847224695691,0.00010478313005985929
540.0,0.08825590074562395,0.0010667705274158834,0.0011656760510283526,0.0007199438722100287,0.00010478313005985929
540.0,0.08928274153945595,0.0013776611962157403,0.0011656760510283526,0.0009633013994668375,0.00010478313005985929
540.0,0.09030743429035756,0.0017795699396288,0.0011656760510283526,0.001278032350439642,0.00010478313005985929
540.0,0.09132978029650739,0.002296339096972133,0.0011656760510283526,0.0016828851177263522,0.00010478313005985929
540.0,0.0923495681702389,0.002957209824955953,0.0011656760510283526,0.002200873812329288,0.00010478313005985929
540.0,0.09336657378513252,0.003797809173704536,0.0011656760510283526,0.002860065754685086,0.00010478313005992716
540.0,0.0943805595662751,0.004861255643447748,0.0011656760510287967,0.003694466240375214,0.00010478313005994502
540.0,0.0953912756933589,0.006199385158481618,0.0011656760510287967,0.004745003175816353,0.00010478313005994502
540.0,0.09639846026831739,0.007874090451991833,0.0011656760510287967,0.006060607337777114,0.00010478313005994502
540.0,0.09740183955800345,0.009958762980886604,0.0011656760510287967,0.007699381131497386,0.00010478313005994502
540.0,0.09840112856690197,0.012539820851998229,0.0011656760510287967,0.009729844458483943,0.00010478313005994502
540.0,0.09939603264570279,0.015718299890465914,0.0011656760510287967,0.012232241442240445,0.00010478313005994502
540.0,0.10038624851439969,0.019611474047849242,0.0011656760510287967,0.01529988326479128,0.00010478313005994502
540.0,0.10137146514031278,0.024354460464053318,0.0011656760510287967,0.019040493792623868,0.00010478313005994502
540.0,0.10235136516852997,0.03010176317997093,0.0011656760510287967,0.02357752356294051,0.00010478313005991714
540.0,0.10332562634832987,0.03702869106916751,0.0011656760510285746,0.02905138294702099,0.00010478313005941657
540.0,0.10429392395625564,0.04533259176309912,0.0011656760510267983,0.03562054985796829,0.00010478313005470476
540.0,0.10525593175448669,0.055233808479954405,0.0011656760510061481,0.04346247930288722,0.00010478313001288781
540.0,0.10621132333208266,0.06697628238435982,0.0011656760508336195,0.05277425378884404,0.000104783129683766
540.0,0.1071597731638037,0.0808277120794969,0.0011656760495062368,0.06377290422694047,0.00010478312719002326
540.0,0.10810095779176977,0.09707918305900876,0.0011656760397358301,0.07669533135879239,0.00010478310935311148
540.0,0.10903455688746658,0.1160441975865183,0.0011656759720828358,0.09179777173434552,0.00010478298924643917
540.0,0.1099602474607406,0.13805688266813831,0.0011656755322924095,0.10935463107105085,0.00010478222982821935
540.0,0.11087769214552082,0.1634691801635313,0.0011656728552531526,0.1296565289500184,0.00010477773279318257
540.0,0.11178649938229036,0.19264609675957445,0.0011656576397585106,0.15300681882965342,0.00010475286209236785
540.0,0.11268612433286049,0.22595670690452607,0.0011655771481442478,0.1797147283667005,0.00010462480576603805
540.0,0.11357566155031681,0.2637561278036742,0.0011651823460816502,0.2100812486028295,0.00010401326549079577
540.0,0.11445345181243931,0.3063487339179005,0.001163395952281876,0.2443698356865826,0.00010131799418378747
540.0,0.11531648055089319,0.3539199406249054,0.0011559920896919706,0.2827514378888798,9.043120947334866e-05
540.0,0.11615971333464245,0.4064304628424793,0.001128164161887213,0.32521839124222535,5.0524173495842624e-05
540.0,0.11697592061638235,0.4635034314022164,0.0010345217933867001,0.3714910525577196,-8.057121342999004e-05
540.0,0.11776318273753608,0.5248938923006108,0.0009563002912282847,0.42139599085150015,-0.0004646892886239141
540.0,0.1185312860297518,0.5913002455481546,0.0019282121863470891,0.475530183115468,-0.0014892422757615876
540.0,0.11929291462851194,0.6640467839973212,0.004582692848955627,0.5350136654984107,-0.004034341660341287
540.0,0.12005385934471033,0.7441864484377447,0.010740535736041501,0.6007624301779252,-0.009936959853580696
540.0,0.12081480406090875,0.8324087323917979,0.02399266103454245,0.673411145897031,-0.022633212878243072
